gene,F_score,p_value,DH_ex_Gpr83_mean,DH_ex_Grpr_mean,mean_difference
Grik1,10.490233532145695,0.0019300928290136006,1.303030303030303,0.25806451612903225,1.0449657869012707
Rorb,6.673611111111108,0.012157005128546856,0.18181818181818182,0.0,0.18181818181818182
Grik3,6.366584426447073,0.01420723385948683,0.21212121212121213,0.0,0.21212121212121213
Calb1,5.718596679121232,0.019834183799418634,0.12121212121212122,0.41935483870967744,-0.2981427174975562
Plxnc1,5.4422053679539735,0.022915905082972657,0.42424242424242425,0.0967741935483871,0.3274682306940372
Dlk1,5.192279890415834,0.026143434502823266,3.303030303030303,0.6774193548387096,2.6256109481915937
Pcdhgb4,4.4558259671179385,0.03882220627296844,0.06060606060606061,0.3225806451612903,-0.2619745845552297
Nrgn,4.217560009204383,0.04423133135277884,0.6666666666666666,1.5161290322580645,-0.8494623655913979
Sema5b,4.022055900386616,0.049278434754609954,0.24242424242424243,0.03225806451612903,0.2101661779081134
Pvalb,3.8183131531620442,0.0552097528511347,0.3333333333333333,0.0967741935483871,0.23655913978494622
Pcdha7,3.4368504532012882,0.06851562829780032,0.030303030303030304,0.1935483870967742,-0.16324535679374388
Pcdhgc5,3.232882624631538,0.07704254524224334,0.18181818181818182,0.4838709677419355,-0.3020527859237537
Bnc2,3.1574173757730604,0.08048814583242632,0.36363636363636365,0.7419354838709677,-0.3782991202346041
Zfhx3,3.0287552591209836,0.08676217266023667,0.5454545454545454,0.1935483870967742,0.3519061583577712
Adcyap1r1,3.0270527879929636,0.08684874189639039,0.9696969696969697,1.4838709677419355,-0.5141739980449658
Mc4r,3.0031249999999994,0.08807564038723402,0.09090909090909091,0.0,0.09090909090909091
Adra2a,3.0031249999999994,0.08807564038723402,0.09090909090909091,0.0,0.09090909090909091
Pcdhb9,3.0031249999999994,0.08807564038723402,0.09090909090909091,0.0,0.09090909090909091
Pcdhga11,2.846926278564038,0.09657423068283931,0.09090909090909091,0.2903225806451613,-0.1994134897360704
Plxna1,2.72482944690692,0.10385585933853349,0.18181818181818182,0.45161290322580644,-0.2697947214076246
Dpy19l1,2.7211296988988702,0.10408589991061536,0.2727272727272727,0.06451612903225806,0.20821114369501464
Ctss,2.373754776200874,0.12847870121852575,0.030303030303030304,0.1935483870967742,-0.16324535679374388
Calcrl,2.169055915276558,0.14587138412172182,0.030303030303030304,0.12903225806451613,-0.09872922776148582
Pcdhb19,2.169055915276558,0.14587138412172182,0.030303030303030304,0.12903225806451613,-0.09872922776148582
Fosb,2.0903157906486154,0.15327162430822652,0.0,0.0967741935483871,-0.0967741935483871
Pdyn,2.039740193533757,0.15825408396783677,0.06060606060606061,0.25806451612903225,-0.19745845552297164
Prox1,1.9303334071378506,0.1696917108172147,0.15151515151515152,0.03225806451612903,0.11925708699902249
Spr,1.9303334071378506,0.1696917108172147,0.15151515151515152,0.03225806451612903,0.11925708699902249
Pmp22,1.9303334071378506,0.1696917108172147,0.15151515151515152,0.03225806451612903,0.11925708699902249
Npas4,1.7492845071958125,0.19082473575795753,0.12121212121212122,0.03225806451612903,0.08895405669599218
Pcdhga9,1.6544540808113344,0.20313645508559044,0.06060606060606061,0.16129032258064516,-0.10068426197458455
Col23a1,1.473201597049603,0.22944470904350453,0.06060606060606061,0.1935483870967742,-0.13294232649071358
Crhr1,1.4243998255984172,0.23722743805700802,0.030303030303030304,0.12903225806451613,-0.09872922776148582
Sema6c,1.2269697393668062,0.27227601488164105,0.15151515151515152,0.06451612903225806,0.08699902248289346
Pcdhga12,1.2269697393668062,0.27227601488164105,0.15151515151515152,0.06451612903225806,0.08699902248289346
Cck,1.2269697393668062,0.27227601488164105,0.15151515151515152,0.06451612903225806,0.08699902248289346
Pcdhb11,1.1900903294367682,0.279532849995274,0.030303030303030304,0.0967741935483871,-0.06647116324535679
Gabrg2,1.1900903294367682,0.279532849995274,0.030303030303030304,0.0967741935483871,-0.06647116324535679
Pcdha11,1.1900903294367682,0.279532849995274,0.030303030303030304,0.0967741935483871,-0.06647116324535679
Ptgds,1.1349787768008746,0.2908471916409688,0.9090909090909091,0.3548387096774194,0.5542521994134897
Nrp1,1.1250553918133808,0.292947029369255,0.06060606060606061,0.16129032258064516,-0.10068426197458455
Grid1,1.121334595985437,0.29373944515604644,1.0,1.5483870967741935,-0.5483870967741935
Ntrk3,1.0809854149072837,0.3025148979206269,0.8787878787878788,1.1612903225806452,-0.28250244379276646
Pax6,1.065625,0.3059457997346306,0.0,0.03225806451612903,-0.03225806451612903
Pts,1.065625,0.3059457997346306,0.0,0.03225806451612903,-0.03225806451612903
Ramp2,1.065625,0.3059457997346306,0.0,0.03225806451612903,-0.03225806451612903
Prkcg,1.0264348161064516,0.31493503993511146,0.42424242424242425,0.22580645161290322,0.19843597262952103
Lhx9,0.9384765624999998,0.3364339531732646,0.030303030303030304,0.0,0.030303030303030304
Plxnb2,0.9226190476190461,0.34051933719194155,0.09090909090909091,0.03225806451612903,0.05865102639296188
Pcdhga6,0.8652706890266142,0.35587572618948815,0.06060606060606061,0.12903225806451613,-0.06842619745845552
Pkd2l1,0.8652706890266142,0.35587572618948815,0.06060606060606061,0.12903225806451613,-0.06842619745845552
Pcdhgb2,0.8652706890266142,0.35587572618948815,0.06060606060606061,0.12903225806451613,-0.06842619745845552
Chrnb2,0.8379773702725166,0.36352262002273633,0.696969696969697,0.9354838709677419,-0.23851417399804486
Pcdhga10,0.8136584708216034,0.3705318162166128,0.15151515151515152,0.06451612903225806,0.08699902248289346
Notch2,0.747714588891948,0.390534136044797,0.21212121212121213,0.3548387096774194,-0.14271749755620725
Adamts2,0.7451695884146334,0.39133697870229345,0.21212121212121213,0.0967741935483871,0.11534701857282503
Cdh19,0.7176897946392682,0.40016113316837265,0.09090909090909091,0.1935483870967742,-0.10263929618768328
Gabra1,0.7093220338983047,0.4029060974897227,0.09090909090909091,0.16129032258064516,-0.07038123167155425
Sst,0.623374840003789,0.4328051103579142,1.9696969696969697,1.3225806451612903,0.6471163245356795
Sstr2,0.5914473684210533,0.4447798742560584,0.12121212121212122,0.06451612903225806,0.05669599217986315
Rnf220,0.5576582428688718,0.4580278749673708,2.515151515151515,2.032258064516129,0.48289345063538613
Pcdhga8,0.5023165106502337,0.4811405267726376,0.06060606060606061,0.12903225806451613,-0.06842619745845552
Pdzrn3,0.4918420410897917,0.4857308547159527,0.09090909090909091,0.03225806451612903,0.05865102639296188
Gabrb3,0.4388989478349323,0.5101096734170047,0.30303030303030304,0.3870967741935484,-0.08406647116324534
P2rx7,0.42573116015171425,0.5165030391555665,0.09090909090909091,0.16129032258064516,-0.07038123167155425
Tnr,0.42573116015171425,0.5165030391555665,0.09090909090909091,0.16129032258064516,-0.07038123167155425
P2ry1,0.40836846180316627,0.5251527185119931,0.030303030303030304,0.06451612903225806,-0.03421309872922776
Sema4d,0.2797797905219783,0.598734229264572,0.06060606060606061,0.03225806451612903,0.028347996089931576
Qrfpr,0.23189624645892445,0.6318167409292925,0.09090909090909091,0.12903225806451613,-0.038123167155425214
Gad2,0.2125690173296089,0.6463745720657805,0.12121212121212122,0.1935483870967742,-0.07233626588465297
Grik5,0.20487980267208497,0.6523904360152497,1.4848484848484849,1.3225806451612903,0.1622678396871946
Sema6d,0.18807499547413437,0.6660289155224594,1.3333333333333333,1.4193548387096775,-0.08602150537634423
Pcdhgb5,0.1501315369897961,0.6997366711871336,0.09090909090909091,0.06451612903225806,0.02639296187683285
Pcdhb16,0.1501315369897961,0.6997366711871336,0.09090909090909091,0.06451612903225806,0.02639296187683285
Sstr3,0.12637808652513033,0.723423971403454,0.030303030303030304,0.06451612903225806,-0.03421309872922776
Plxnb1,0.12637808652513033,0.723423971403454,0.030303030303030304,0.06451612903225806,-0.03421309872922776
Sema4c,0.1170051399223607,0.7334624405433909,0.18181818181818182,0.16129032258064516,0.020527859237536666
Penk,0.07049991496756414,0.7914911764233354,2.4545454545454546,2.129032258064516,0.32551319648093857
Jag2,0.060469322495369904,0.8065679392263015,0.2727272727272727,0.22580645161290322,0.04692082111436949
Vgf,0.03384344994812885,0.8546405778391707,0.42424242424242425,0.3870967741935484,0.03714565004887588
Gpc3,0.020657586244935904,0.8861818164213088,0.06060606060606061,0.06451612903225806,-0.003910068426197455
Bdnf,0.011634084332870623,0.914453924535452,0.15151515151515152,0.12903225806451613,0.022482893450635394
Gabrq,0.006270226537216753,0.9371406911871241,0.09090909090909091,0.0967741935483871,-0.0058651026392961825
Gabrg3,0.006270226537216753,0.9371406911871241,0.09090909090909091,0.0967741935483871,-0.0058651026392961825
Esrrg,0.00404066736183525,0.9495201104066924,0.06060606060606061,0.06451612903225806,-0.003910068426197455
Pax2,0.00404066736183525,0.9495201104066924,0.06060606060606061,0.06451612903225806,-0.003910068426197455
Farp2,0.001955095862764886,0.9648739591821035,0.030303030303030304,0.03225806451612903,-0.0019550342130987275
Pcdhb21,0.001955095862764886,0.9648739591821035,0.030303030303030304,0.03225806451612903,-0.0019550342130987275
Chrm4,0.001955095862764886,0.9648739591821035,0.030303030303030304,0.03225806451612903,-0.0019550342130987275
Chrna7,0.0017182757678335901,0.9670686890677112,0.24242424242424243,0.22580645161290322,0.01661779081133921
Sema7a,0.0014254170169595694,0.970004570068079,0.15151515151515152,0.16129032258064516,-0.009775171065493637
