model,number_of_genes,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
LogisticRegression,40,0.6407692307692308,0.11469136470861493,0.6433333333333334,0.11647116759017485,0.6329040404040405,0.1171275891559053
ExtraTrees,40,0.6156410256410256,0.13716726521159442,0.6199999999999999,0.13907370922873757,0.6048691863691863,0.14635301409558527
RandomForest,40,0.5938461538461538,0.1239536084243622,0.5957142857142856,0.12487998773970344,0.5811785861197625,0.1352155254934229
LogisticRegression,2,0.5843589743589743,0.10602618360943857,0.589047619047619,0.10728139191935475,0.562933654065233,0.13067776784372082
RandomForest,20,0.5784615384615385,0.1077728636441802,0.5804761904761905,0.10520900265834104,0.5679945740533976,0.11304194571365811
LogisticRegression,1,0.5746153846153846,0.11023971251020513,0.58,0.11205764632443983,0.5498217874316945,0.1303346302747102
ExtraTrees,5,0.568974358974359,0.12001095720301416,0.5752380952380952,0.1237509018726155,0.5497460317460318,0.12836482974966157
ExtraTrees,20,0.5717948717948719,0.12871692715908853,0.5747619047619047,0.13125592525228033,0.5575455655455656,0.13931207086921224
LogisticRegression,20,0.5692307692307693,0.09872627337527412,0.570952380952381,0.0977919490864276,0.5547291727879962,0.10370958723460849
RandomForest,3,0.5635897435897436,0.12637046234824473,0.5676190476190476,0.13026747296417346,0.5399462824756942,0.14550224337643605
RandomForest,2,0.5602564102564103,0.10537806455402317,0.5676190476190476,0.10305536455355105,0.5241990642656277,0.11807190517064287
ExtraTrees,3,0.5602564102564103,0.14023086065513146,0.5657142857142857,0.14258386560252437,0.5397617480558656,0.15459297408337766
ExtraTrees,2,0.56,0.10190299753833461,0.5652380952380952,0.10247061411629002,0.520709098091451,0.12161671553795682
RandomForest,5,0.56,0.1173883007341188,0.5647619047619048,0.12182847315282376,0.5424401382930795,0.13115327020273498
LogisticRegression,3,0.556923076923077,0.10991778650251331,0.5614285714285715,0.1141705769229561,0.5346613321319204,0.12977710693337502
RandomForest,10,0.5533333333333333,0.1350569071866734,0.5576190476190477,0.1392676015899165,0.5386554556554556,0.138463059837373
ExtraTrees,10,0.5497435897435898,0.12426351080805337,0.5542857142857143,0.13015253566366866,0.5339066325831031,0.12953335150580347
ExtraTrees,1,0.5438461538461539,0.09068517040559851,0.5542857142857143,0.09307544546631422,0.49509836517112055,0.11309046299139051
RandomForest,1,0.5438461538461539,0.09068517040559851,0.5523809523809523,0.09141120866882127,0.49917899042821645,0.1164788090506292
LogisticRegression,5,0.5346153846153846,0.12355675695545391,0.5357142857142857,0.12576297758327865,0.5225247367012072,0.12898286651502708
LogisticRegression,10,0.5184615384615384,0.12298768132109406,0.5214285714285714,0.12874767461519784,0.504612596553773,0.12510321318249987
