model,number_of_genes,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
RandomForest,3,0.7471111111111111,0.1244555550595681,0.785,0.1749620950202573,0.6722164502164502,0.15842813341858963
RandomForest,40,0.8226666666666667,0.10467964062077127,0.7578571428571428,0.19716291305850164,0.6974266681031387,0.18318962774883676
RandomForest,20,0.8084444444444445,0.12034025834182749,0.749642857142857,0.19377229957254638,0.6916708683473388,0.18574876203498772
RandomForest,10,0.8142222222222222,0.1019086979410952,0.7460714285714286,0.1785192780992048,0.6971159232923938,0.15684216025325873
RandomForest,2,0.6764444444444444,0.15323088364851165,0.7389285714285714,0.2105519956142493,0.6127061827061827,0.17213210332966294
ExtraTrees,2,0.6644444444444444,0.16961830788676785,0.7314285714285714,0.21334495876062182,0.6010900210900211,0.1831674250083923
RandomForest,5,0.7693333333333334,0.12197065018344715,0.7285714285714286,0.19072899889740982,0.6382364890011949,0.16292657738485533
ExtraTrees,5,0.7568888888888889,0.12985538014686343,0.7064285714285714,0.18873437224126963,0.6201352013999073,0.15993711620935175
ExtraTrees,3,0.6875555555555556,0.12338117190336179,0.6828571428571428,0.19576381020953565,0.5855424575424576,0.1560748166172545
ExtraTrees,20,0.8204444444444444,0.10669814350381404,0.675,0.21754954866064186,0.6510066795949149,0.21321718132396597
LogisticRegression,2,0.6639999999999999,0.17515509881809124,0.6714285714285714,0.24775780224127875,0.580988233988234,0.19433548369050305
LogisticRegression,5,0.6844444444444444,0.157542861109032,0.6521428571428571,0.21984572512819722,0.5743607699490052,0.16863120778344798
LogisticRegression,3,0.6444444444444444,0.13792107243718132,0.6460714285714286,0.2012695674350949,0.5583552003552004,0.14640743054338648
ExtraTrees,1,0.567111111111111,0.16376677182980542,0.6389285714285714,0.2022841505185723,0.499049081637317,0.14959324844817626
RandomForest,1,0.5626666666666665,0.162507511697228,0.6360714285714286,0.20571056544255054,0.4973347959230312,0.15095783333385063
ExtraTrees,10,0.7733333333333333,0.11115554667022046,0.6314285714285715,0.18150307806463994,0.5962869189633896,0.1749433194270602
ExtraTrees,40,0.7906666666666666,0.12275359238916166,0.605,0.23934274373707642,0.580614127702363,0.23220840199747553
LogisticRegression,1,0.5497777777777777,0.16037363780778843,0.5914285714285714,0.22479128641693297,0.48052569652569654,0.1611042765006825
LogisticRegression,20,0.7253333333333333,0.13148797062755624,0.5478571428571429,0.20450724751390667,0.5260737269266681,0.18221443869439669
LogisticRegression,40,0.7653333333333334,0.09435001815540857,0.5417857142857143,0.13390999871220238,0.5067170150111326,0.11946729249770016
LogisticRegression,10,0.6955555555555556,0.13377703949593253,0.5267857142857143,0.16045614188739477,0.5176610644257703,0.14070325601346265
