model,number_of_genes,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
LogisticRegression,10,0.9877941176470588,0.024425049539001945,0.9893333333333334,0.021368027344436668,0.9876986584107327,0.024612031663192497
LogisticRegression,1,0.9876470588235294,0.024714634304171434,0.9891111111111109,0.02180044172165463,0.9875748194014449,0.024856531810195873
RandomForest,1,0.9876470588235294,0.024714634304171434,0.9891111111111109,0.02180044172165463,0.9875748194014449,0.024856531810195873
ExtraTrees,1,0.9876470588235294,0.024714634304171434,0.9891111111111109,0.02180044172165463,0.9875748194014449,0.024856531810195873
LogisticRegression,2,0.9876470588235294,0.024714634304171434,0.9891111111111109,0.02180044172165463,0.9875748194014449,0.024856531810195873
LogisticRegression,3,0.9876470588235294,0.024714634304171434,0.9891111111111109,0.02180044172165463,0.9875748194014449,0.024856531810195873
RandomForest,10,0.9876470588235294,0.024714634304171434,0.9891111111111109,0.02180044172165463,0.9875748194014449,0.024856531810195873
RandomForest,20,0.9876470588235294,0.024714634304171434,0.9891111111111109,0.02180044172165463,0.9875748194014449,0.024856531810195873
RandomForest,40,0.9876470588235294,0.024714634304171434,0.9891111111111109,0.02180044172165463,0.9875748194014449,0.024856531810195873
LogisticRegression,20,0.9854411764705883,0.025923263122806437,0.9877777777777778,0.021773242158072713,0.9851501151067714,0.026450125351833078
RandomForest,5,0.9851470588235294,0.026439524256434237,0.9862539682539682,0.024677021789186314,0.9849837262840359,0.026731776948088065
LogisticRegression,5,0.9827941176470588,0.027604786205534852,0.9842539682539683,0.025494534265207695,0.9825977613717553,0.027920587026539708
ExtraTrees,3,0.9804411764705883,0.028529411764705886,0.983111111111111,0.024669669486894093,0.9802117964594745,0.028864247848948935
RandomForest,2,0.9779411764705883,0.029430141317925738,0.9811111111111112,0.025239592648001234,0.9776207033420655,0.029861831372507613
ExtraTrees,2,0.9779411764705883,0.029430141317925738,0.9811111111111112,0.025239592648001234,0.9776207033420655,0.029861831372507613
RandomForest,3,0.9779411764705883,0.029430141317925738,0.9811111111111112,0.025239592648001234,0.9776207033420655,0.029861831372507613
ExtraTrees,10,0.9754411764705883,0.030097161001430364,0.9765396825396826,0.02925210356733571,0.9750296102246565,0.03060858727331987
ExtraTrees,5,0.9729411764705883,0.0352922793638915,0.9758095238095237,0.031726279569447166,0.9726207033420655,0.03560808905769496
ExtraTrees,40,0.9730882352941177,0.030383221330337978,0.9747619047619048,0.02908012752864727,0.9725623561165357,0.030988200787559983
ExtraTrees,20,0.9730882352941177,0.030383221330337978,0.9745396825396824,0.029288979041148997,0.9725387677338142,0.031006355972256157
LogisticRegression,40,0.9345588235294119,0.0660701760712802,0.9330793650793652,0.06478163409407184,0.9324191484470122,0.06735607579055537
