,Predicted_DH_ex_Cpne4,Predicted_DH_ex_Gpr83,Predicted_DH_ex_Grp,Predicted_DH_ex_Grpr,Predicted_DH_ex_Maf/Cck,Predicted_DH_ex_Maf/Cpne4,Predicted_DH_ex_Maf/Slc17a8,Predicted_DH_ex_Nmu/Tac2,Predicted_DH_ex_Prkcg/Cck,Predicted_DH_ex_Prkcg/Nts,Predicted_DH_ex_Prkcg/Rxfp1,Predicted_DH_ex_Reln,Predicted_DH_ex_Reln/Nmur2,Predicted_DH_ex_Reln/Npff,Predicted_DH_ex_Rreb1,Predicted_DH_ex_Sox5,Predicted_DH_ex_Sox5/Tac1,Predicted_DH_ex_Tac2,Predicted_DH_in_Cdh3,Predicted_DH_in_Kcnip2,Predicted_DH_in_Klhl14,Predicted_DH_in_Npy,Predicted_DH_in_Npy2r,Predicted_DH_in_Pdyn,Predicted_DH_in_Pdyn/Gal,Predicted_DH_in_Rorb,Predicted_DM_ex_Zfhx3,Predicted_MV_ex_Shox2,Predicted_MV_ex_Syt2,Predicted_MV_in_Chrna2,Predicted_MV_in_Esrrb,Predicted_MV_in_Gabra1,Predicted_MV_in_Gm26673,Predicted_MV_in_Sema5b,Predicted_M_ex_Neurod2,Predicted_M_ex_Vsx2,Predicted_M_ex_Vsx2/Shox2,Predicted_M_in_Tfap2b,Predicted_Schwann_cell,Predicted_VH_in_Chat,Predicted_alpha_motoneuron,Predicted_astrocyte_1,Predicted_astrocyte_2,Predicted_beta_motoneuron,Predicted_cholinergic_interneuron,Predicted_endothelial,Predicted_ependymal,Predicted_gamma_motoneuron,Predicted_meninges_1,Predicted_meninges_2,Predicted_meninges_3,Predicted_microglia,Predicted_oligodendrocyte_1,Predicted_oligodendrocyte_2,Predicted_oligodendrocyte_precursor_cell,Predicted_oligodendrocyte_progenitor_1,Predicted_oligodendrocyte_progenitor_2,Predicted_pericyte,Predicted_peripheral_glia,Predicted_visceral_motoneuron
Actual_M_ex_Vsx2/Shox2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_M_in_Tfap2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Schwann_cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Actual_VH_in_Chat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_alpha_motoneuron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,22,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Actual_astrocyte_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,68,0,0,47,4,0,2,0,1,20,13,10,30,11,25,13,1,0
Actual_astrocyte_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,103,0,0,11,3,0,2,2,1,5,5,17,8,3,6,2,0,0
Actual_beta_motoneuron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_cholinergic_interneuron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_endothelial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,9,0,0,204,1,0,4,1,1,11,17,12,14,3,9,17,2,0
Actual_ependymal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_gamma_motoneuron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
Actual_meninges_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,27,15,16,1,0,0,0,0,0,3,1,0
Actual_meninges_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,0,0,0,0,0,1,1,0,0
