model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group,outer_fold
ExtraTrees,3,0.8862745098039216,0.06094223634478451,0.799047619047619,0.1436612291219676,0.7896812290416295,0.11591016999731271,19,inhibitory,1
LogisticRegression,2,0.7941176470588236,0.06234896741287225,0.7957142857142856,0.10356896548795348,0.7100336666605951,0.06821896331124035,19,inhibitory,1
RandomForest,40,0.8758169934640522,0.053419128736477244,0.7923809523809524,0.09892162315866371,0.7809986772486772,0.07957200647594385,19,inhibitory,1
ExtraTrees,10,0.8758169934640522,0.053419128736477244,0.7919047619047619,0.14210596155119612,0.7730682743182744,0.10622775102743438,19,inhibitory,1
LogisticRegression,3,0.8287581699346405,0.06345594073213057,0.7904761904761906,0.12133983685941849,0.7375849274937151,0.09643690217301802,19,inhibitory,1
ExtraTrees,20,0.8869281045751635,0.03418744269443664,0.7728571428571428,0.07100828733850931,0.7863981143069019,0.07476407191924196,19,inhibitory,1
RandomForest,10,0.8764705882352942,0.06344920836345933,0.7661904761904761,0.12032081077548029,0.76834917250796,0.10706722080372807,19,inhibitory,1
ExtraTrees,2,0.8758169934640524,0.08097720061022136,0.7657142857142857,0.1716506498042792,0.764504577735946,0.17539070756755548,19,inhibitory,1
ExtraTrees,40,0.8529411764705882,0.0425590080943783,0.7519047619047619,0.12062197090060163,0.7371540824766631,0.09339316018655927,19,inhibitory,1
ExtraTrees,1,0.8405228758169934,0.0567687601323097,0.7447619047619047,0.12899753025461916,0.7263553113553114,0.10596678346109724,19,inhibitory,1
RandomForest,2,0.7222222222222222,0.1638653467083625,0.73,0.15604486534327236,0.72,0.16613247725836147,2,excitatory,1
ExtraTrees,2,0.65,0.1234158882862392,0.6599999999999999,0.12206555615733704,0.6343145743145744,0.12981099022230322,2,excitatory,1
RandomForest,5,0.65,0.1077262190536962,0.65,0.0987420882906575,0.6366666666666667,0.11224972160321822,2,excitatory,1
