model,number_of_genes,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
LogisticRegression,20,0.8876023391812865,0.06703029996069716,0.8653553113553113,0.08530722163189254,0.8611885870140743,0.08377787422315762
LogisticRegression,10,0.8796491228070176,0.07140578373796382,0.8647838827838829,0.09214800304241548,0.8527244395451292,0.08920791016814246
RandomForest,40,0.8925146198830407,0.04729457820940153,0.847948717948718,0.07766023899797511,0.8575609366944186,0.06602403689503464
ExtraTrees,10,0.8902923976608189,0.05141624761485523,0.8476483516483516,0.08145201885592587,0.8558192879917017,0.07116907143091988
ExtraTrees,2,0.8988304093567252,0.03539823614133696,0.8468644688644689,0.07082654759591131,0.8621847917089296,0.05749567165489888
ExtraTrees,3,0.8814035087719299,0.07331700947802162,0.8448424908424909,0.09207506998964887,0.8474767352698387,0.09188357487106973
ExtraTrees,40,0.8947368421052632,0.0462912688354697,0.8446739926739927,0.0791747530598743,0.8579104870163825,0.06920872512344357
LogisticRegression,3,0.8622222222222221,0.06473195541971975,0.8432967032967034,0.08422890345970714,0.8306317710386676,0.07767080613136643
LogisticRegression,2,0.8625730994152047,0.05981515706409859,0.8406080586080585,0.07588135587081557,0.8310159958759659,0.06978507684437853
RandomForest,10,0.8796491228070176,0.06563102426746958,0.8382710622710623,0.0867996385156124,0.8452321836528733,0.0824162290848451
RandomForest,20,0.8839766081871343,0.059325575901874324,0.8363150183150183,0.08412050261143011,0.8469252638104696,0.07686011253458305
RandomForest,5,0.8752046783625731,0.07014970288325977,0.8351941391941392,0.09257710669071474,0.8387309320253848,0.09356778390780689
LogisticRegression,5,0.8557894736842105,0.06722715044929564,0.833091575091575,0.0883876896947222,0.8222375649892892,0.08482650119405837
RandomForest,2,0.8901754385964914,0.04490436090015427,0.8315311355311356,0.08946608331728907,0.8458126797850936,0.0810447583876353
LogisticRegression,40,0.8555555555555556,0.0715747428341251,0.819772893772894,0.09104892767486279,0.8196288725323209,0.08944081802720931
ExtraTrees,20,0.8750877192982456,0.05877422822889344,0.8189670329670331,0.09411359353161702,0.8303099598296484,0.08919649226497646
RandomForest,3,0.8557894736842104,0.058839360810854634,0.815069597069597,0.08216358941407609,0.8143275156516536,0.07557794232277737
ExtraTrees,5,0.8601169590643274,0.06429919633155157,0.8071941391941393,0.10118806812641994,0.8109338708490131,0.09896878002300745
LogisticRegression,1,0.8066666666666668,0.07038623311301392,0.7585201465201464,0.10288248751123072,0.7536651884513954,0.10033143580216655
RandomForest,1,0.8060818713450292,0.07770396180620578,0.7366007326007327,0.08251367097053294,0.7415418700574912,0.09270865395507756
ExtraTrees,1,0.8060818713450292,0.07770396180620578,0.7366007326007327,0.08251367097053294,0.7415418700574912,0.09270865395507756
