model,number_of_genes,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
LogisticRegression,20,0.9300854700854702,0.06609553982361291,0.9100000000000001,0.09751033003128395,0.8852508415076666,0.10359054035737221
LogisticRegression,10,0.8848433048433049,0.0643921033046397,0.8714545454545454,0.09682368742348636,0.8213729000812471,0.09364275544613672
LogisticRegression,5,0.8561823361823362,0.07713222595649767,0.8633636363636363,0.11181692534401234,0.7919055223087077,0.10423071641255925
LogisticRegression,40,0.9087749287749288,0.08110854426603233,0.8511818181818182,0.14311487612612128,0.8399902794819316,0.1423602527182892
RandomForest,5,0.858860398860399,0.07361563154178191,0.8334545454545454,0.1141868846588748,0.7823722611042889,0.10898284718394358
ExtraTrees,5,0.8469515669515668,0.08383534475091416,0.8302727272727273,0.12489949678649895,0.7721274123871968,0.11895912827012162
LogisticRegression,3,0.8164672364672364,0.07145453635011582,0.8244545454545456,0.10216717785769049,0.7417204028443095,0.08903352660993402
RandomForest,40,0.8452421652421652,0.06941504089322852,0.815,0.10707802052400317,0.7627071681459457,0.09651749010807131
ExtraTrees,3,0.8165242165242165,0.07389305077651379,0.8141818181818182,0.08679623711232824,0.7401820962858219,0.08152319454281047
RandomForest,3,0.8362962962962963,0.05931938654617158,0.8116363636363637,0.09525589719494129,0.7521161062296607,0.08156458507770792
LogisticRegression,2,0.798005698005698,0.08314794192830981,0.8114545454545455,0.1060026508322838,0.7248153814811917,0.10018884786055586
RandomForest,10,0.8450712250712251,0.056654740852303896,0.809909090909091,0.09377500768390107,0.7596830670432485,0.08457295777265443
ExtraTrees,10,0.8374928774928776,0.08191160158825268,0.8053636363636365,0.11144408967714234,0.755230827493448,0.10893781755252394
ExtraTrees,20,0.8391452991452992,0.07198220934613041,0.8051818181818183,0.09068043972522592,0.7574174455405311,0.09474744199457692
ExtraTrees,2,0.826951566951567,0.06585957996879883,0.8000000000000002,0.09449517894038408,0.7412063991047555,0.0869741808304512
RandomForest,20,0.8421652421652422,0.053723159549051616,0.7988181818181818,0.08138806134148681,0.7530801635251805,0.0756505722874114
RandomForest,2,0.809116809116809,0.06289395607397794,0.781909090909091,0.09957031652999952,0.7186133877087915,0.08077010618637294
ExtraTrees,40,0.8255840455840456,0.08213836784047876,0.7785454545454545,0.1090418071313904,0.7360785841451871,0.1094519885544356
RandomForest,1,0.7076923076923077,0.06065767265567338,0.764090909090909,0.10646071715670836,0.6348581320700718,0.07403942794192284
LogisticRegression,1,0.7404558404558403,0.06611896673444884,0.7584545454545455,0.11248419540040296,0.6574082093950447,0.09070879625313215
ExtraTrees,1,0.7315669515669515,0.06960561179717581,0.7458181818181818,0.10461594461538161,0.646676583951345,0.08586332490566942
