model,cell_type,precision,recall,f1,support
genes_volume,Schwann_cell,0.7904761904761904,0.9764705882352941,0.8736842105263158,85.0
genes_volume,astrocyte_1,0.6733013040494166,0.8384615384615385,0.74685953559193,1170.0
genes_volume,astrocyte_2,0.8260869565217391,0.34545454545454546,0.48717948717948717,385.0
genes_volume,endothelial,0.7665505226480837,0.7096774193548387,0.7370184254606366,620.0
genes_volume,ependymal,0.8666666666666667,0.65,0.7428571428571429,20.0
genes_volume,meninges_1,0.6576576576576577,0.6134453781512605,0.6347826086956522,119.0
genes_volume,meninges_2,0.38095238095238093,0.2222222222222222,0.2807017543859649,72.0
genes_volume,meninges_3,0.6153846153846154,0.48484848484848486,0.5423728813559322,33.0
genes_volume,microglia,0.8103448275862069,0.6714285714285714,0.734375,140.0
genes_volume,oligodendrocyte_1,0.47761194029850745,0.17266187050359713,0.2536327608982827,556.0
genes_volume,oligodendrocyte_2,0.7192429022082019,0.855,0.781267846944603,800.0
genes_volume,oligodendrocyte_precursor_cell,0.6185567010309279,0.5286343612334802,0.5700712589073634,227.0
genes_volume,oligodendrocyte_progenitor_1,0.7105263157894737,0.27,0.391304347826087,100.0
genes_volume,oligodendrocyte_progenitor_2,0.6137708445400754,0.7874396135265701,0.6898428053204353,1449.0
genes_volume,pericyte,0.7333333333333333,0.41904761904761906,0.5333333333333333,105.0
genes_volume,peripheral_glia,1.0,0.2564102564102564,0.40816326530612246,39.0
targeted_hybrid,Schwann_cell,0.9090909090909091,0.8235294117647058,0.8641975308641975,85.0
targeted_hybrid,astrocyte_1,0.7185244587008821,0.7658119658119659,0.741414977244518,1170.0
targeted_hybrid,astrocyte_2,0.601078167115903,0.5792207792207792,0.58994708994709,385.0
targeted_hybrid,endothelial,0.7665505226480837,0.7096774193548387,0.7370184254606366,620.0
targeted_hybrid,ependymal,0.8666666666666667,0.65,0.7428571428571429,20.0
targeted_hybrid,meninges_1,0.6576576576576577,0.6134453781512605,0.6347826086956522,119.0
targeted_hybrid,meninges_2,0.38095238095238093,0.2222222222222222,0.2807017543859649,72.0
targeted_hybrid,meninges_3,0.6153846153846154,0.48484848484848486,0.5423728813559322,33.0
targeted_hybrid,microglia,0.8103448275862069,0.6714285714285714,0.734375,140.0
targeted_hybrid,oligodendrocyte_1,0.42338709677419356,0.3776978417266187,0.39923954372623577,556.0
targeted_hybrid,oligodendrocyte_2,0.69009900990099,0.87125,0.7701657458563536,800.0
targeted_hybrid,oligodendrocyte_precursor_cell,0.5728643216080402,0.5022026431718062,0.5352112676056338,227.0
targeted_hybrid,oligodendrocyte_progenitor_1,0.5168539325842697,0.46,0.48677248677248675,100.0
targeted_hybrid,oligodendrocyte_progenitor_2,0.6728778467908902,0.6728778467908902,0.6728778467908902,1449.0
targeted_hybrid,pericyte,0.7333333333333333,0.41904761904761906,0.5333333333333333,105.0
targeted_hybrid,peripheral_glia,0.6578947368421053,0.6410256410256411,0.6493506493506493,39.0
