model,number_of_genes,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
LogisticRegression,10,0.7648253968253969,0.07837146914286465,0.7672159724333638,0.08186958098470977,0.752717969411432,0.07942077762381657
LogisticRegression,20,0.7727936507936508,0.07476662944663738,0.7662774906253168,0.09074310100749784,0.7545250073388567,0.08735948674363274
ExtraTrees,10,0.7613333333333334,0.0552205409070759,0.7623249214553565,0.060517294271653914,0.7487825557964015,0.05752937672555324
ExtraTrees,20,0.7577142857142857,0.07144885778943895,0.7547871693523868,0.08179628963578088,0.7427596044537372,0.07881795977525852
RandomForest,10,0.750984126984127,0.06473477489631671,0.7499822641126989,0.072763610707764,0.7371053073282897,0.06864695451546068
RandomForest,20,0.7497142857142858,0.06827754483907357,0.7494461335765683,0.0809197747371969,0.7347875098717163,0.07811639431983632
ExtraTrees,40,0.7498730158730159,0.0707283776242644,0.7491522245870073,0.07975606314929176,0.7351760995407549,0.07706670831494238
LogisticRegression,40,0.7544444444444445,0.06640955712016113,0.7473071855680551,0.0779961043564233,0.7359255575934511,0.07633617227801409
RandomForest,40,0.7441587301587301,0.06551225750265349,0.7438887199756766,0.07270341317648991,0.730252552924093,0.06961058206743387
RandomForest,5,0.7282539682539683,0.0774417750380119,0.7294613357656837,0.0821884891946785,0.7138727277411242,0.08149487976023838
ExtraTrees,5,0.7191111111111113,0.08021133587355536,0.7183632309719266,0.0852040405401619,0.7037527976938872,0.08422397376654261
LogisticRegression,5,0.717015873015873,0.07133541721018583,0.7157104489713185,0.07133345917714856,0.7021531767522673,0.07175854400065074
RandomForest,3,0.6976825396825397,0.056843093812572645,0.6986915982568158,0.06371169121933949,0.6814702221694547,0.06082403802100988
ExtraTrees,3,0.6895873015873016,0.060936390098167294,0.6925747440964831,0.06702162597372816,0.6747784778052014,0.06449840281001801
LogisticRegression,3,0.6931746031746033,0.05861378431534847,0.6885147461234418,0.06279103993905188,0.6758333000633141,0.05967342446262877
LogisticRegression,2,0.6796507936507936,0.054714209733739236,0.6798418972332015,0.05209919209682805,0.6633531141937005,0.05164146193556732
ExtraTrees,2,0.6716190476190477,0.06054480130847314,0.6738436201479681,0.05980034770901418,0.6558117603599254,0.060343090880855245
RandomForest,2,0.6716507936507936,0.05707117196702815,0.6731650957737915,0.057778463594751604,0.6556552277417762,0.05829734086566996
LogisticRegression,1,0.6216825396825396,0.04911959582363795,0.6168495996756866,0.059738594239313325,0.599092791684095,0.05810056822480695
ExtraTrees,1,0.6055873015873015,0.06977683896706577,0.5997785547785548,0.06394655827054177,0.5744465780847401,0.07422418356952651
RandomForest,1,0.5943492063492063,0.06388423329187337,0.5961497922367487,0.061246845404308595,0.5656037996791965,0.0676304442231769
